Hugo_Symbol	classifier_pathogenic_final	penetrance	Adrenocortical Carcinoma_gene_count	Adrenocortical Carcinoma_tumortype_count	Ampullary Carcinoma_gene_count	Ampullary Carcinoma_tumortype_count	Anal Cancer_gene_count	Anal Cancer_tumortype_count	Appendiceal Adenocarcinoma_gene_count	Appendiceal Adenocarcinoma_tumortype_count	Bladder Cancer_gene_count	Bladder Cancer_tumortype_count	Bone Cancer_gene_count	Bone Cancer_tumortype_count	Cancer of Unknown Primary_gene_count	Cancer of Unknown Primary_tumortype_count	Cervical Cancer_gene_count	Cervical Cancer_tumortype_count	Cholangiocarcinoma_gene_count	Cholangiocarcinoma_tumortype_count	Colorectal Adenocarcinoma_gene_count	Colorectal Adenocarcinoma_tumortype_count	Cutaneous Melanoma_gene_count	Cutaneous Melanoma_tumortype_count	Diffuse Glioma_gene_count	Diffuse Glioma_tumortype_count	Embryonal Tumor_gene_count	Embryonal Tumor_tumortype_count	Endometrial Carcinoma_gene_count	Endometrial Carcinoma_tumortype_count	Esophagogastric Cancer_gene_count	Esophagogastric Cancer_tumortype_count	Gastrointestinal Neuroendocrine Tumors_gene_count	Gastrointestinal Neuroendocrine Tumors_tumortype_count	Gastrointestinal Stromal Tumor_gene_count	Gastrointestinal Stromal Tumor_tumortype_count	Germ Cell Tumor_gene_count	Germ Cell Tumor_tumortype_count	Head and Neck Cancer_gene_count	Head and Neck Cancer_tumortype_count	Invasive Breast Carcinoma_gene_count	Invasive Breast Carcinoma_tumortype_count	Lung Neuroendocrine Tumor_gene_count	Lung Neuroendocrine Tumor_tumortype_count	Mesothelioma_gene_count	Mesothelioma_tumortype_count	Nerve Sheath Tumor_gene_count	Nerve Sheath Tumor_tumortype_count	Non Glioma CNS Cancers_gene_count	Non Glioma CNS Cancers_tumortype_count	Non-Cholangio Hepatobiliary Cancer_gene_count	Non-Cholangio Hepatobiliary Cancer_tumortype_count	Non-Small Cell Lung Cancer_gene_count	Non-Small Cell Lung Cancer_tumortype_count	Non-cutaneous Melanoma_gene_count	Non-cutaneous Melanoma_tumortype_count	Other_gene_count	Other_tumortype_count	Ovarian Cancer_gene_count	Ovarian Cancer_tumortype_count	Pancreatic Adenocarcinoma_gene_count	Pancreatic Adenocarcinoma_tumortype_count	Pancreatic Neuroendocrine Tumor_gene_count	Pancreatic Neuroendocrine Tumor_tumortype_count	Prostate Cancer_gene_count	Prostate Cancer_tumortype_count	Renal Clear Cell Carcinoma_gene_count	Renal Clear Cell Carcinoma_tumortype_count	Renal Non-Clear Cell Carcinoma_gene_count	Renal Non-Clear Cell Carcinoma_tumortype_count	Retinoblastoma_gene_count	Retinoblastoma_tumortype_count	Salivary Carcinoma_gene_count	Salivary Carcinoma_tumortype_count	Sex Cord Stromal Tumor_gene_count	Sex Cord Stromal Tumor_tumortype_count	Skin Cancer, Non-Melanoma_gene_count	Skin Cancer, Non-Melanoma_tumortype_count	Small Bowel Cancer_gene_count	Small Bowel Cancer_tumortype_count	Small Cell Lung Cancer_gene_count	Small Cell Lung Cancer_tumortype_count	Soft Tissue Sarcoma_gene_count	Soft Tissue Sarcoma_tumortype_count	Thymic Tumor_gene_count	Thymic Tumor_tumortype_count	Thyroid Cancer_gene_count	Thyroid Cancer_tumortype_count	Unknown_gene_count	Unknown_tumortype_count	Uterine Sarcoma_gene_count	Uterine Sarcoma_tumortype_count	gene_panel
BAP1	0	NA	2.0	36.0	1.0	41.0	3.0	45.0	5.0	92.0	9.0	498.0	4.0	174.0	10.0	349.0	1.0	74.0	16.0	251.0	21.0	1384.0	4.0	298.0	5.0	790.0	3.0	101.0	3.0	507.0	8.0	355.0	1.0	77.0	2.0	193.0	5.0	317.0	8.0	258.0	58.0	2206.0	3.0	86.0	6.0	141.0	0.0	25.0	0.0	64.0	3.0	208.0	68.0	2187.0	6.0	175.0	10.0	382.0	9.0	333.0	29.0	649.0	1.0	99.0	9.0	879.0	7.0	262.0	4.0	174.0	0.0	11.0	1.0	125.0	1.0	24.0	4.0	179.0	2.0	52.0	5.0	118.0	7.0	550.0	1.0	30.0	2.0	269.0	0.0	20.0	3.0	107.0	all
BAP1	1	High	0.0	36.0	0.0	41.0	0.0	45.0	0.0	92.0	0.0	498.0	0.0	174.0	0.0	349.0	0.0	74.0	2.0	251.0	0.0	1384.0	0.0	298.0	0.0	790.0	0.0	101.0	0.0	507.0	1.0	355.0	0.0	77.0	0.0	193.0	0.0	317.0	0.0	258.0	1.0	2206.0	0.0	86.0	4.0	141.0	0.0	25.0	0.0	64.0	0.0	208.0	4.0	2187.0	0.0	175.0	0.0	382.0	1.0	333.0	0.0	649.0	0.0	99.0	0.0	879.0	3.0	262.0	0.0	174.0	0.0	11.0	0.0	125.0	0.0	24.0	0.0	179.0	0.0	52.0	0.0	118.0	0.0	550.0	0.0	30.0	0.0	269.0	0.0	20.0	0.0	107.0	all
BARD1	0	NA	1.0	36.0	3.0	41.0	3.0	45.0	5.0	92.0	14.0	498.0	9.0	174.0	7.0	349.0	1.0	74.0	6.0	251.0	34.0	1384.0	6.0	298.0	9.0	790.0	3.0	101.0	13.0	507.0	11.0	355.0	4.0	77.0	0.0	193.0	3.0	317.0	1.0	258.0	54.0	2206.0	2.0	86.0	3.0	141.0	0.0	25.0	0.0	64.0	9.0	208.0	57.0	2187.0	2.0	175.0	9.0	382.0	13.0	333.0	26.0	649.0	2.0	99.0	16.0	879.0	5.0	262.0	6.0	174.0	1.0	11.0	1.0	125.0	0.0	24.0	7.0	179.0	2.0	52.0	2.0	118.0	9.0	550.0	0.0	30.0	6.0	269.0	2.0	20.0	3.0	107.0	all
BARD1	1	Uncertain	0.0	36.0	0.0	41.0	0.0	45.0	0.0	92.0	1.0	498.0	0.0	174.0	0.0	349.0	0.0	74.0	0.0	251.0	0.0	1384.0	0.0	298.0	0.0	790.0	0.0	101.0	0.0	507.0	1.0	355.0	0.0	77.0	0.0	193.0	1.0	317.0	0.0	258.0	2.0	2206.0	0.0	86.0	1.0	141.0	0.0	25.0	0.0	64.0	0.0	208.0	1.0	2187.0	0.0	175.0	0.0	382.0	0.0	333.0	1.0	649.0	0.0	99.0	0.0	879.0	0.0	262.0	0.0	174.0	0.0	11.0	0.0	125.0	0.0	24.0	0.0	179.0	0.0	52.0	0.0	118.0	1.0	550.0	0.0	30.0	0.0	269.0	0.0	20.0	0.0	107.0	all
BBC3	0	NA	0.0	36.0	0.0	41.0	0.0	45.0	0.0	92.0	2.0	498.0	0.0	174.0	2.0	349.0	0.0	74.0	1.0	251.0	10.0	1384.0	3.0	298.0	10.0	790.0	0.0	101.0	4.0	507.0	2.0	355.0	0.0	77.0	0.0	193.0	2.0	317.0	4.0	258.0	10.0	2206.0	0.0	86.0	2.0	141.0	0.0	25.0	0.0	64.0	2.0	208.0	19.0	2187.0	0.0	175.0	2.0	382.0	1.0	333.0	6.0	649.0	0.0	99.0	4.0	879.0	1.0	262.0	0.0	174.0	0.0	11.0	0.0	125.0	0.0	24.0	0.0	179.0	2.0	52.0	0.0	118.0	3.0	550.0	0.0	30.0	3.0	269.0	0.0	20.0	1.0	107.0	all
BCL2	0	NA	1.0	36.0	2.0	41.0	1.0	45.0	1.0	92.0	1.0	498.0	4.0	174.0	3.0	349.0	0.0	74.0	2.0	251.0	29.0	1384.0	1.0	298.0	5.0	790.0	1.0	101.0	4.0	507.0	11.0	355.0	1.0	77.0	1.0	193.0	1.0	317.0	2.0	258.0	21.0	2206.0	0.0	86.0	0.0	141.0	0.0	25.0	0.0	64.0	7.0	208.0	28.0	2187.0	3.0	175.0	6.0	382.0	3.0	333.0	16.0	649.0	1.0	99.0	13.0	879.0	0.0	262.0	2.0	174.0	1.0	11.0	1.0	125.0	0.0	24.0	3.0	179.0	0.0	52.0	0.0	118.0	2.0	550.0	0.0	30.0	1.0	269.0	0.0	20.0	0.0	107.0	all
BCL2L1	0	NA	0.0	36.0	0.0	41.0	0.0	45.0	0.0	92.0	0.0	498.0	0.0	174.0	0.0	349.0	0.0	74.0	0.0	251.0	0.0	1384.0	1.0	298.0	0.0	790.0	0.0	101.0	0.0	507.0	1.0	355.0	0.0	77.0	0.0	193.0	0.0	317.0	0.0	258.0	2.0	2206.0	0.0	86.0	0.0	141.0	0.0	25.0	0.0	64.0	0.0	208.0	3.0	2187.0	0.0	175.0	1.0	382.0	0.0	333.0	3.0	649.0	0.0	99.0	2.0	879.0	1.0	262.0	1.0	174.0	0.0	11.0	0.0	125.0	0.0	24.0	0.0	179.0	0.0	52.0	0.0	118.0	0.0	550.0	0.0	30.0	0.0	269.0	0.0	20.0	0.0	107.0	all
BCL2L11	0	NA	0.0	36.0	0.0	41.0	0.0	45.0	0.0	92.0	2.0	498.0	0.0	174.0	0.0	349.0	0.0	74.0	0.0	251.0	1.0	1384.0	0.0	298.0	0.0	790.0	0.0	101.0	0.0	507.0	0.0	355.0	0.0	77.0	2.0	193.0	1.0	317.0	0.0	258.0	1.0	2206.0	0.0	86.0	0.0	141.0	0.0	25.0	0.0	64.0	0.0	208.0	14.0	2187.0	0.0	175.0	1.0	382.0	1.0	333.0	0.0	649.0	1.0	99.0	3.0	879.0	0.0	262.0	1.0	174.0	0.0	11.0	1.0	125.0	0.0	24.0	1.0	179.0	0.0	52.0	0.0	118.0	0.0	550.0	0.0	30.0	0.0	269.0	1.0	20.0	0.0	107.0	all
BCL6	0	NA	2.0	36.0	1.0	41.0	1.0	45.0	5.0	92.0	17.0	498.0	10.0	174.0	26.0	349.0	3.0	74.0	7.0	251.0	72.0	1384.0	11.0	298.0	16.0	790.0	5.0	101.0	24.0	507.0	27.0	355.0	3.0	77.0	4.0	193.0	11.0	317.0	13.0	258.0	96.0	2206.0	1.0	86.0	6.0	141.0	2.0	25.0	2.0	64.0	7.0	208.0	139.0	2187.0	5.0	175.0	18.0	382.0	13.0	333.0	42.0	649.0	10.0	99.0	41.0	879.0	11.0	262.0	10.0	174.0	0.0	11.0	5.0	125.0	1.0	24.0	11.0	179.0	1.0	52.0	0.0	118.0	18.0	550.0	0.0	30.0	14.0	269.0	1.0	20.0	3.0	107.0	all
BCOR	0	NA	0.0	36.0	0.0	41.0	0.0	45.0	0.0	92.0	0.0	498.0	0.0	174.0	0.0	349.0	0.0	74.0	0.0	251.0	0.0	1384.0	0.0	298.0	0.0	790.0	0.0	101.0	2.0	507.0	0.0	355.0	0.0	77.0	0.0	193.0	0.0	317.0	0.0	258.0	1.0	2206.0	0.0	86.0	0.0	141.0	0.0	25.0	0.0	64.0	0.0	208.0	3.0	2187.0	0.0	175.0	0.0	382.0	0.0	333.0	1.0	649.0	0.0	99.0	0.0	879.0	0.0	262.0	0.0	174.0	0.0	11.0	1.0	125.0	0.0	24.0	0.0	179.0	0.0	52.0	0.0	118.0	0.0	550.0	0.0	30.0	0.0	269.0	0.0	20.0	0.0	107.0	all
BLM	0	NA	0.0	36.0	0.0	41.0	1.0	45.0	2.0	92.0	13.0	498.0	3.0	174.0	10.0	349.0	2.0	74.0	3.0	251.0	51.0	1384.0	4.0	298.0	9.0	790.0	0.0	101.0	13.0	507.0	12.0	355.0	0.0	77.0	5.0	193.0	8.0	317.0	5.0	258.0	45.0	2206.0	2.0	86.0	2.0	141.0	0.0	25.0	1.0	64.0	8.0	208.0	82.0	2187.0	6.0	175.0	6.0	382.0	13.0	333.0	29.0	649.0	0.0	99.0	24.0	879.0	3.0	262.0	5.0	174.0	0.0	11.0	3.0	125.0	1.0	24.0	2.0	179.0	1.0	52.0	1.0	118.0	8.0	550.0	1.0	30.0	11.0	269.0	1.0	20.0	0.0	107.0	all
BLM	1	Uncertain	0.0	36.0	0.0	41.0	0.0	45.0	0.0	92.0	0.0	498.0	0.0	174.0	0.0	349.0	0.0	74.0	0.0	251.0	1.0	1384.0	1.0	298.0	0.0	790.0	0.0	101.0	0.0	507.0	0.0	355.0	0.0	77.0	0.0	193.0	0.0	317.0	0.0	258.0	1.0	2206.0	0.0	86.0	0.0	141.0	0.0	25.0	0.0	64.0	0.0	208.0	0.0	2187.0	0.0	175.0	0.0	382.0	1.0	333.0	1.0	649.0	0.0	99.0	0.0	879.0	0.0	262.0	0.0	174.0	0.0	11.0	0.0	125.0	0.0	24.0	0.0	179.0	0.0	52.0	0.0	118.0	0.0	550.0	0.0	30.0	0.0	269.0	0.0	20.0	0.0	107.0	all
BMPR1A	0	NA	0.0	36.0	0.0	41.0	1.0	45.0	2.0	92.0	9.0	498.0	0.0	174.0	4.0	349.0	2.0	74.0	2.0	251.0	40.0	1384.0	6.0	298.0	25.0	790.0	1.0	101.0	9.0	507.0	5.0	355.0	2.0	77.0	4.0	193.0	5.0	317.0	5.0	258.0	44.0	2206.0	3.0	86.0	4.0	141.0	0.0	25.0	0.0	64.0	1.0	208.0	55.0	2187.0	5.0	175.0	12.0	382.0	7.0	333.0	14.0	649.0	1.0	99.0	26.0	879.0	7.0	262.0	4.0	174.0	0.0	11.0	4.0	125.0	0.0	24.0	4.0	179.0	0.0	52.0	3.0	118.0	9.0	550.0	0.0	30.0	4.0	269.0	0.0	20.0	6.0	107.0	all
BRAF	0	NA	0.0	36.0	1.0	41.0	1.0	45.0	0.0	92.0	0.0	498.0	1.0	174.0	2.0	349.0	1.0	74.0	3.0	251.0	16.0	1384.0	5.0	298.0	1.0	790.0	0.0	101.0	3.0	507.0	5.0	355.0	0.0	77.0	0.0	193.0	0.0	317.0	0.0	258.0	24.0	2206.0	0.0	86.0	2.0	141.0	0.0	25.0	0.0	64.0	0.0	208.0	25.0	2187.0	0.0	175.0	4.0	382.0	3.0	333.0	7.0	649.0	0.0	99.0	7.0	879.0	1.0	262.0	1.0	174.0	0.0	11.0	1.0	125.0	1.0	24.0	2.0	179.0	0.0	52.0	0.0	118.0	3.0	550.0	0.0	30.0	3.0	269.0	0.0	20.0	0.0	107.0	all
BRCA1	0	NA	1.0	36.0	1.0	41.0	0.0	45.0	7.0	92.0	14.0	498.0	2.0	174.0	12.0	349.0	1.0	74.0	3.0	251.0	54.0	1384.0	6.0	298.0	14.0	790.0	0.0	101.0	22.0	507.0	11.0	355.0	4.0	77.0	0.0	193.0	7.0	317.0	4.0	258.0	113.0	2206.0	1.0	86.0	0.0	141.0	0.0	25.0	0.0	64.0	6.0	208.0	70.0	2187.0	1.0	175.0	10.0	382.0	21.0	333.0	29.0	649.0	2.0	99.0	25.0	879.0	10.0	262.0	3.0	174.0	0.0	11.0	4.0	125.0	1.0	24.0	5.0	179.0	4.0	52.0	2.0	118.0	16.0	550.0	1.0	30.0	5.0	269.0	1.0	20.0	0.0	107.0	all
BRCA1	1	High	0.0	36.0	0.0	41.0	0.0	45.0	0.0	92.0	1.0	498.0	0.0	174.0	2.0	349.0	0.0	74.0	2.0	251.0	1.0	1384.0	1.0	298.0	0.0	790.0	0.0	101.0	3.0	507.0	3.0	355.0	0.0	77.0	0.0	193.0	0.0	317.0	0.0	258.0	40.0	2206.0	0.0	86.0	0.0	141.0	0.0	25.0	0.0	64.0	0.0	208.0	4.0	2187.0	0.0	175.0	2.0	382.0	18.0	333.0	9.0	649.0	0.0	99.0	2.0	879.0	0.0	262.0	0.0	174.0	0.0	11.0	2.0	125.0	0.0	24.0	0.0	179.0	0.0	52.0	0.0	118.0	0.0	550.0	0.0	30.0	0.0	269.0	0.0	20.0	0.0	107.0	all
BRCA2	0	NA	3.0	36.0	1.0	41.0	2.0	45.0	9.0	92.0	34.0	498.0	22.0	174.0	27.0	349.0	5.0	74.0	25.0	251.0	64.0	1384.0	8.0	298.0	32.0	790.0	1.0	101.0	39.0	507.0	32.0	355.0	5.0	77.0	6.0	193.0	26.0	317.0	25.0	258.0	225.0	2206.0	8.0	86.0	10.0	141.0	2.0	25.0	2.0	64.0	8.0	208.0	239.0	2187.0	2.0	175.0	29.0	382.0	33.0	333.0	49.0	649.0	3.0	99.0	76.0	879.0	22.0	262.0	12.0	174.0	1.0	11.0	3.0	125.0	1.0	24.0	9.0	179.0	3.0	52.0	20.0	118.0	46.0	550.0	2.0	30.0	17.0	269.0	0.0	20.0	12.0	107.0	all
BRCA2	1	High	0.0	36.0	3.0	41.0	0.0	45.0	0.0	92.0	3.0	498.0	0.0	174.0	5.0	349.0	0.0	74.0	3.0	251.0	0.0	1384.0	0.0	298.0	1.0	790.0	0.0	101.0	1.0	507.0	4.0	355.0	1.0	77.0	1.0	193.0	0.0	317.0	1.0	258.0	50.0	2206.0	0.0	86.0	3.0	141.0	0.0	25.0	0.0	64.0	0.0	208.0	12.0	2187.0	0.0	175.0	1.0	382.0	10.0	333.0	26.0	649.0	0.0	99.0	36.0	879.0	0.0	262.0	0.0	174.0	0.0	11.0	0.0	125.0	0.0	24.0	2.0	179.0	0.0	52.0	0.0	118.0	2.0	550.0	0.0	30.0	0.0	269.0	0.0	20.0	0.0	107.0	all
BRD4	0	NA	1.0	36.0	1.0	41.0	0.0	45.0	3.0	92.0	13.0	498.0	3.0	174.0	13.0	349.0	4.0	74.0	6.0	251.0	44.0	1384.0	4.0	298.0	8.0	790.0	1.0	101.0	13.0	507.0	12.0	355.0	3.0	77.0	0.0	193.0	10.0	317.0	8.0	258.0	59.0	2206.0	1.0	86.0	3.0	141.0	0.0	25.0	0.0	64.0	15.0	208.0	120.0	2187.0	3.0	175.0	10.0	382.0	9.0	333.0	26.0	649.0	2.0	99.0	19.0	879.0	2.0	262.0	5.0	174.0	0.0	11.0	1.0	125.0	1.0	24.0	5.0	179.0	3.0	52.0	3.0	118.0	9.0	550.0	0.0	30.0	6.0	269.0	0.0	20.0	2.0	107.0	all
BRIP1	0	NA	0.0	36.0	0.0	41.0	1.0	45.0	3.0	92.0	5.0	498.0	4.0	174.0	2.0	349.0	2.0	74.0	3.0	251.0	31.0	1384.0	9.0	298.0	5.0	790.0	2.0	101.0	14.0	507.0	7.0	355.0	1.0	77.0	0.0	193.0	4.0	317.0	6.0	258.0	50.0	2206.0	1.0	86.0	0.0	141.0	1.0	25.0	1.0	64.0	3.0	208.0	58.0	2187.0	1.0	175.0	5.0	382.0	7.0	333.0	15.0	649.0	0.0	99.0	16.0	879.0	5.0	262.0	2.0	174.0	0.0	11.0	1.0	125.0	1.0	24.0	2.0	179.0	0.0	52.0	0.0	118.0	10.0	550.0	1.0	30.0	6.0	269.0	0.0	20.0	1.0	107.0	all
BRIP1	1	Moderate	0.0	36.0	0.0	41.0	0.0	45.0	0.0	92.0	1.0	498.0	0.0	174.0	0.0	349.0	0.0	74.0	0.0	251.0	1.0	1384.0	0.0	298.0	0.0	790.0	0.0	101.0	0.0	507.0	0.0	355.0	0.0	77.0	0.0	193.0	0.0	317.0	0.0	258.0	1.0	2206.0	0.0	86.0	0.0	141.0	0.0	25.0	0.0	64.0	0.0	208.0	1.0	2187.0	0.0	175.0	0.0	382.0	1.0	333.0	0.0	649.0	0.0	99.0	2.0	879.0	0.0	262.0	0.0	174.0	0.0	11.0	0.0	125.0	0.0	24.0	0.0	179.0	0.0	52.0	0.0	118.0	0.0	550.0	0.0	30.0	0.0	269.0	0.0	20.0	0.0	107.0	all
CARD11	0	NA	1.0	36.0	0.0	41.0	0.0	45.0	2.0	92.0	10.0	498.0	8.0	174.0	7.0	349.0	2.0	74.0	6.0	251.0	28.0	1384.0	3.0	298.0	8.0	790.0	3.0	101.0	17.0	507.0	11.0	355.0	1.0	77.0	1.0	193.0	5.0	317.0	9.0	258.0	68.0	2206.0	0.0	86.0	3.0	141.0	1.0	25.0	4.0	64.0	6.0	208.0	65.0	2187.0	5.0	175.0	8.0	382.0	5.0	333.0	24.0	649.0	1.0	99.0	28.0	879.0	7.0	262.0	2.0	174.0	0.0	11.0	5.0	125.0	1.0	24.0	2.0	179.0	4.0	52.0	1.0	118.0	13.0	550.0	1.0	30.0	3.0	269.0	0.0	20.0	1.0	107.0	all
CASP8	0	NA	0.0	36.0	0.0	41.0	0.0	45.0	2.0	92.0	5.0	498.0	4.0	174.0	0.0	349.0	1.0	74.0	0.0	251.0	9.0	1384.0	0.0	298.0	0.0	790.0	0.0	101.0	2.0	507.0	1.0	355.0	1.0	77.0	1.0	193.0	1.0	317.0	0.0	258.0	15.0	2206.0	1.0	86.0	0.0	141.0	0.0	25.0	0.0	64.0	2.0	208.0	26.0	2187.0	0.0	175.0	0.0	382.0	2.0	333.0	2.0	649.0	1.0	99.0	3.0	879.0	3.0	262.0	2.0	174.0	0.0	11.0	0.0	125.0	0.0	24.0	2.0	179.0	0.0	52.0	0.0	118.0	5.0	550.0	0.0	30.0	3.0	269.0	0.0	20.0	0.0	107.0	all
CASP8	1	Uncertain	0.0	36.0	0.0	41.0	0.0	45.0	0.0	92.0	1.0	498.0	0.0	174.0	0.0	349.0	0.0	74.0	0.0	251.0	1.0	1384.0	0.0	298.0	0.0	790.0	0.0	101.0	1.0	507.0	0.0	355.0	0.0	77.0	0.0	193.0	0.0	317.0	0.0	258.0	0.0	2206.0	0.0	86.0	0.0	141.0	0.0	25.0	0.0	64.0	0.0	208.0	1.0	2187.0	0.0	175.0	0.0	382.0	0.0	333.0	1.0	649.0	0.0	99.0	1.0	879.0	0.0	262.0	0.0	174.0	0.0	11.0	0.0	125.0	0.0	24.0	0.0	179.0	0.0	52.0	0.0	118.0	0.0	550.0	0.0	30.0	0.0	269.0	0.0	20.0	0.0	107.0	all
CBFB	0	NA	0.0	36.0	0.0	41.0	0.0	45.0	0.0	92.0	0.0	498.0	0.0	174.0	0.0	349.0	0.0	74.0	0.0	251.0	2.0	1384.0	0.0	298.0	1.0	790.0	0.0	101.0	0.0	507.0	3.0	355.0	0.0	77.0	0.0	193.0	0.0	317.0	0.0	258.0	2.0	2206.0	0.0	86.0	0.0	141.0	0.0	25.0	0.0	64.0	0.0	208.0	2.0	2187.0	0.0	175.0	0.0	382.0	0.0	333.0	2.0	649.0	0.0	99.0	2.0	879.0	0.0	262.0	0.0	174.0	0.0	11.0	0.0	125.0	0.0	24.0	0.0	179.0	0.0	52.0	0.0	118.0	0.0	550.0	0.0	30.0	0.0	269.0	0.0	20.0	0.0	107.0	all
CBL	0	NA	0.0	36.0	1.0	41.0	1.0	45.0	0.0	92.0	7.0	498.0	5.0	174.0	4.0	349.0	1.0	74.0	2.0	251.0	29.0	1384.0	2.0	298.0	8.0	790.0	3.0	101.0	3.0	507.0	8.0	355.0	0.0	77.0	1.0	193.0	5.0	317.0	7.0	258.0	76.0	2206.0	4.0	86.0	2.0	141.0	0.0	25.0	2.0	64.0	7.0	208.0	46.0	2187.0	3.0	175.0	3.0	382.0	4.0	333.0	12.0	649.0	1.0	99.0	15.0	879.0	3.0	262.0	6.0	174.0	0.0	11.0	4.0	125.0	1.0	24.0	1.0	179.0	0.0	52.0	0.0	118.0	7.0	550.0	0.0	30.0	3.0	269.0	0.0	20.0	2.0	107.0	all
CCND1	0	NA	0.0	36.0	0.0	41.0	0.0	45.0	1.0	92.0	1.0	498.0	0.0	174.0	1.0	349.0	0.0	74.0	0.0	251.0	4.0	1384.0	0.0	298.0	6.0	790.0	2.0	101.0	1.0	507.0	0.0	355.0	1.0	77.0	0.0	193.0	1.0	317.0	0.0	258.0	1.0	2206.0	0.0	86.0	2.0	141.0	0.0	25.0	0.0	64.0	0.0	208.0	5.0	2187.0	0.0	175.0	0.0	382.0	0.0	333.0	1.0	649.0	0.0	99.0	0.0	879.0	0.0	262.0	0.0	174.0	0.0	11.0	0.0	125.0	0.0	24.0	1.0	179.0	1.0	52.0	0.0	118.0	0.0	550.0	0.0	30.0	0.0	269.0	0.0	20.0	0.0	107.0	all
CCND2	0	NA	1.0	36.0	0.0	41.0	0.0	45.0	0.0	92.0	1.0	498.0	1.0	174.0	1.0	349.0	0.0	74.0	1.0	251.0	1.0	1384.0	0.0	298.0	1.0	790.0	0.0	101.0	0.0	507.0	0.0	355.0	0.0	77.0	0.0	193.0	0.0	317.0	0.0	258.0	2.0	2206.0	0.0	86.0	0.0	141.0	0.0	25.0	0.0	64.0	1.0	208.0	9.0	2187.0	1.0	175.0	0.0	382.0	0.0	333.0	3.0	649.0	0.0	99.0	2.0	879.0	0.0	262.0	0.0	174.0	0.0	11.0	0.0	125.0	0.0	24.0	0.0	179.0	0.0	52.0	0.0	118.0	0.0	550.0	0.0	30.0	1.0	269.0	0.0	20.0	0.0	107.0	all
CCND3	0	NA	0.0	36.0	0.0	41.0	0.0	45.0	1.0	92.0	1.0	498.0	3.0	174.0	0.0	349.0	2.0	74.0	2.0	251.0	17.0	1384.0	0.0	298.0	2.0	790.0	2.0	101.0	6.0	507.0	4.0	355.0	0.0	77.0	1.0	193.0	1.0	317.0	5.0	258.0	19.0	2206.0	4.0	86.0	3.0	141.0	0.0	25.0	0.0	64.0	1.0	208.0	34.0	2187.0	0.0	175.0	5.0	382.0	0.0	333.0	11.0	649.0	6.0	99.0	5.0	879.0	0.0	262.0	2.0	174.0	0.0	11.0	1.0	125.0	0.0	24.0	2.0	179.0	2.0	52.0	1.0	118.0	3.0	550.0	0.0	30.0	2.0	269.0	0.0	20.0	0.0	107.0	all
CCNE1	0	NA	1.0	36.0	0.0	41.0	0.0	45.0	1.0	92.0	1.0	498.0	0.0	174.0	2.0	349.0	1.0	74.0	2.0	251.0	9.0	1384.0	1.0	298.0	3.0	790.0	0.0	101.0	2.0	507.0	3.0	355.0	1.0	77.0	0.0	193.0	1.0	317.0	0.0	258.0	9.0	2206.0	0.0	86.0	2.0	141.0	0.0	25.0	0.0	64.0	0.0	208.0	19.0	2187.0	0.0	175.0	0.0	382.0	1.0	333.0	2.0	649.0	0.0	99.0	3.0	879.0	1.0	262.0	0.0	174.0	0.0	11.0	0.0	125.0	0.0	24.0	0.0	179.0	0.0	52.0	0.0	118.0	1.0	550.0	0.0	30.0	0.0	269.0	0.0	20.0	0.0	107.0	all
CD274	0	NA	0.0	36.0	0.0	41.0	0.0	45.0	1.0	92.0	5.0	498.0	1.0	174.0	3.0	349.0	1.0	74.0	0.0	251.0	10.0	1384.0	2.0	298.0	6.0	790.0	0.0	101.0	5.0	507.0	3.0	355.0	0.0	77.0	0.0	193.0	1.0	317.0	0.0	258.0	17.0	2206.0	2.0	86.0	0.0	141.0	0.0	25.0	0.0	64.0	1.0	208.0	20.0	2187.0	1.0	175.0	1.0	382.0	2.0	333.0	9.0	649.0	0.0	99.0	5.0	879.0	4.0	262.0	1.0	174.0	0.0	11.0	0.0	125.0	0.0	24.0	0.0	179.0	0.0	52.0	1.0	118.0	6.0	550.0	0.0	30.0	4.0	269.0	0.0	20.0	2.0	107.0	all
CD276	0	NA	1.0	36.0	0.0	41.0	0.0	45.0	1.0	92.0	1.0	498.0	2.0	174.0	3.0	349.0	0.0	74.0	2.0	251.0	21.0	1384.0	1.0	298.0	4.0	790.0	1.0	101.0	3.0	507.0	7.0	355.0	0.0	77.0	6.0	193.0	0.0	317.0	1.0	258.0	18.0	2206.0	0.0	86.0	1.0	141.0	0.0	25.0	0.0	64.0	1.0	208.0	19.0	2187.0	0.0	175.0	5.0	382.0	0.0	333.0	9.0	649.0	0.0	99.0	8.0	879.0	1.0	262.0	0.0	174.0	0.0	11.0	0.0	125.0	0.0	24.0	0.0	179.0	0.0	52.0	3.0	118.0	6.0	550.0	0.0	30.0	3.0	269.0	0.0	20.0	0.0	107.0	all
